id;account_ref;booking_date;value_date;amount_eur;counterparty;purpose_text
d0000000-0000-4000-b000-000000000027;DE89370400440532013000;2025-04-05;2025-04-05;-250.00;WEG Elbchaussee 120;Hausgeld HH-01 04/2025
d0000000-0000-4000-b000-000000000028;DE89370400440532013000;2025-05-01;2025-05-02;1150.00;Bergmann, Klaus;Miete WE-01 BER-01 05/2025
d0000000-0000-4000-b000-000000000029;DE89370400440532013000;2025-05-01;2025-05-02;1580.00;Yilmaz, Ayse;Miete WE-01 MUC-01 05/2025
d0000000-0000-4000-b000-000000000030;DE89370400440532013000;2025-05-02;2025-05-03;750.00;Petersen, Jan;Miete WE-01 HH-01 05/2025
d0000000-0000-4000-b000-000000000031;DE89370400440532013000;2025-05-05;2025-05-05;-380.00;WEG Berliner Str. 42;Hausgeld BER-01 05/2025
d0000000-0000-4000-b000-000000000032;DE89370400440532013000;2025-05-05;2025-05-05;-450.00;WEG Maximilianstr. 8;Hausgeld MUC-01 05/2025
d0000000-0000-4000-b000-000000000033;DE89370400440532013000;2025-05-05;2025-05-05;-250.00;WEG Elbchaussee 120;Hausgeld HH-01 05/2025
d0000000-0000-4000-b000-000000000034;DE89370400440532013000;2025-05-15;2025-05-15;-130.00;Finanzamt Berlin-Mitte;Grundsteuer BER-01 Q2/2025 Az 123-456-789
d0000000-0000-4000-b000-000000000035;DE89370400440532013000;2025-05-15;2025-05-15;-160.00;Finanzamt München II;Grundsteuer MUC-01 Q2/2025 Az 987-654-321
d0000000-0000-4000-b000-000000000036;DE89370400440532013000;2025-05-15;2025-05-15;-80.00;Finanzamt Hamburg-Nord;Grundsteuer HH-01 Q2/2025 Az 555-888-111
d0000000-0000-4000-b000-000000000037;DE89370400440532013000;2025-06-01;2025-06-02;1150.00;Bergmann, Klaus;Miete WE-01 BER-01 06/2025
d0000000-0000-4000-b000-000000000038;DE89370400440532013000;2025-06-01;2025-06-02;1580.00;Yilmaz, Ayse;Miete WE-01 MUC-01 06/2025
d0000000-0000-4000-b000-000000000039;DE89370400440532013000;2025-06-02;2025-06-03;750.00;Petersen, Jan;Miete WE-01 HH-01 06/2025
d0000000-0000-4000-b000-000000000040;DE89370400440532013000;2025-06-05;2025-06-05;-380.00;WEG Berliner Str. 42;Hausgeld BER-01 06/2025
d0000000-0000-4000-b000-000000000041;DE89370400440532013000;2025-06-05;2025-06-05;-450.00;WEG Maximilianstr. 8;Hausgeld MUC-01 06/2025
d0000000-0000-4000-b000-000000000042;DE89370400440532013000;2025-06-05;2025-06-05;-250.00;WEG Elbchaussee 120;Hausgeld HH-01 06/2025
d0000000-0000-4000-b000-000000000043;DE89370400440532013000;2025-07-01;2025-07-02;1150.00;Bergmann, Klaus;Miete WE-01 BER-01 07/2025
d0000000-0000-4000-b000-000000000044;DE89370400440532013000;2025-07-01;2025-07-02;1580.00;Yilmaz, Ayse;Miete WE-01 MUC-01 07/2025
d0000000-0000-4000-b000-000000000045;DE89370400440532013000;2025-07-02;2025-07-03;750.00;Petersen, Jan;Miete WE-01 HH-01 07/2025
d0000000-0000-4000-b000-000000000046;DE89370400440532013000;2025-07-05;2025-07-05;-380.00;WEG Berliner Str. 42;Hausgeld BER-01 07/2025
d0000000-0000-4000-b000-000000000047;DE89370400440532013000;2025-07-05;2025-07-05;-450.00;WEG Maximilianstr. 8;Hausgeld MUC-01 07/2025
d0000000-0000-4000-b000-000000000048;DE89370400440532013000;2025-07-05;2025-07-05;-250.00;WEG Elbchaussee 120;Hausgeld HH-01 07/2025
d0000000-0000-4000-b000-000000000049;DE89370400440532013000;2025-08-01;2025-08-02;1150.00;Bergmann, Klaus;Miete WE-01 BER-01 08/2025
d0000000-0000-4000-b000-000000000050;DE89370400440532013000;2025-08-01;2025-08-02;1580.00;Yilmaz, Ayse;Miete WE-01 MUC-01 08/2025
d0000000-0000-4000-b000-000000000051;DE89370400440532013000;2025-08-02;2025-08-03;750.00;Petersen, Jan;Miete WE-01 HH-01 08/2025
d0000000-0000-4000-b000-000000000052;DE89370400440532013000;2025-08-05;2025-08-05;-380.00;WEG Berliner Str. 42;Hausgeld BER-01 08/2025
d0000000-0000-4000-b000-000000000053;DE89370400440532013000;2025-08-05;2025-08-05;-450.00;WEG Maximilianstr. 8;Hausgeld MUC-01 08/2025
d0000000-0000-4000-b000-000000000054;DE89370400440532013000;2025-08-05;2025-08-05;-250.00;WEG Elbchaussee 120;Hausgeld HH-01 08/2025
d0000000-0000-4000-b000-000000000055;DE89370400440532013000;2025-08-15;2025-08-15;-130.00;Finanzamt Berlin-Mitte;Grundsteuer BER-01 Q3/2025 Az 123-456-789
d0000000-0000-4000-b000-000000000056;DE89370400440532013000;2025-08-15;2025-08-15;-160.00;Finanzamt München II;Grundsteuer MUC-01 Q3/2025 Az 987-654-321
d0000000-0000-4000-b000-000000000057;DE89370400440532013000;2025-08-15;2025-08-15;-80.00;Finanzamt Hamburg-Nord;Grundsteuer HH-01 Q3/2025 Az 555-888-111
d0000000-0000-4000-b000-000000000058;DE89370400440532013000;2025-09-01;2025-09-02;1150.00;Bergmann, Klaus;Miete WE-01 BER-01 09/2025
d0000000-0000-4000-b000-000000000059;DE89370400440532013000;2025-09-01;2025-09-02;1580.00;Yilmaz, Ayse;Miete WE-01 MUC-01 09/2025
d0000000-0000-4000-b000-000000000060;DE89370400440532013000;2025-09-02;2025-09-03;750.00;Petersen, Jan;Miete WE-01 HH-01 09/2025
d0000000-0000-4000-b000-000000000061;DE89370400440532013000;2025-09-05;2025-09-05;-380.00;WEG Berliner Str. 42;Hausgeld BER-01 09/2025
d0000000-0000-4000-b000-000000000062;DE89370400440532013000;2025-09-05;2025-09-05;-450.00;WEG Maximilianstr. 8;Hausgeld MUC-01 09/2025
d0000000-0000-4000-b000-000000000063;DE89370400440532013000;2025-09-05;2025-09-05;-250.00;WEG Elbchaussee 120;Hausgeld HH-01 09/2025
d0000000-0000-4000-b000-000000000064;DE89370400440532013000;2025-10-01;2025-10-02;1150.00;Bergmann, Klaus;Miete WE-01 BER-01 10/2025
d0000000-0000-4000-b000-000000000065;DE89370400440532013000;2025-10-01;2025-10-02;1580.00;Yilmaz, Ayse;Miete WE-01 MUC-01 10/2025
d0000000-0000-4000-b000-000000000066;DE89370400440532013000;2025-10-02;2025-10-03;750.00;Petersen, Jan;Miete WE-01 HH-01 10/2025
d0000000-0000-4000-b000-000000000067;DE89370400440532013000;2025-10-05;2025-10-05;-380.00;WEG Berliner Str. 42;Hausgeld BER-01 10/2025
d0000000-0000-4000-b000-000000000068;DE89370400440532013000;2025-10-05;2025-10-05;-450.00;WEG Maximilianstr. 8;Hausgeld MUC-01 10/2025
d0000000-0000-4000-b000-000000000069;DE89370400440532013000;2025-10-05;2025-10-05;-250.00;WEG Elbchaussee 120;Hausgeld HH-01 10/2025
d0000000-0000-4000-b000-000000000070;DE89370400440532013000;2025-11-01;2025-11-02;1150.00;Bergmann, Klaus;Miete WE-01 BER-01 11/2025
d0000000-0000-4000-b000-000000000071;DE89370400440532013000;2025-11-01;2025-11-02;1580.00;Yilmaz, Ayse;Miete WE-01 MUC-01 11/2025
d0000000-0000-4000-b000-000000000072;DE89370400440532013000;2025-11-02;2025-11-03;750.00;Petersen, Jan;Miete WE-01 HH-01 11/2025
d0000000-0000-4000-b000-000000000073;DE89370400440532013000;2025-11-05;2025-11-05;-380.00;WEG Berliner Str. 42;Hausgeld BER-01 11/2025
d0000000-0000-4000-b000-000000000074;DE89370400440532013000;2025-11-05;2025-11-05;-450.00;WEG Maximilianstr. 8;Hausgeld MUC-01 11/2025
d0000000-0000-4000-b000-000000000075;DE89370400440532013000;2025-11-05;2025-11-05;-250.00;WEG Elbchaussee 120;Hausgeld HH-01 11/2025
d0000000-0000-4000-b000-000000000076;DE89370400440532013000;2025-11-15;2025-11-15;-130.00;Finanzamt Berlin-Mitte;Grundsteuer BER-01 Q4/2025 Az 123-456-789
d0000000-0000-4000-b000-000000000077;DE89370400440532013000;2025-11-15;2025-11-15;-160.00;Finanzamt München II;Grundsteuer MUC-01 Q4/2025 Az 987-654-321
d0000000-0000-4000-b000-000000000078;DE89370400440532013000;2025-11-15;2025-11-15;-80.00;Finanzamt Hamburg-Nord;Grundsteuer HH-01 Q4/2025 Az 555-888-111
d0000000-0000-4000-b000-000000000079;DE89370400440532013000;2025-11-20;2025-11-22;-450.00;Klima Schulz Heizungsbau;RE-2025-0891 Heizungsreparatur BER-01 Obj. 4711
d0000000-0000-4000-b000-000000000080;DE89370400440532013000;2025-12-01;2025-12-02;1150.00;Bergmann, Klaus;Miete WE-01 BER-01 12/2025
d0000000-0000-4000-b000-000000000081;DE89370400440532013000;2025-12-01;2025-12-02;1580.00;Yilmaz, Ayse;Miete WE-01 MUC-01 12/2025
d0000000-0000-4000-b000-000000000082;DE89370400440532013000;2025-12-02;2025-12-03;750.00;Petersen, Jan;Miete WE-01 HH-01 12/2025
d0000000-0000-4000-b000-000000000083;DE89370400440532013000;2025-12-05;2025-12-05;-380.00;WEG Berliner Str. 42;Hausgeld BER-01 12/2025
d0000000-0000-4000-b000-000000000084;DE89370400440532013000;2025-12-05;2025-12-05;-450.00;WEG Maximilianstr. 8;Hausgeld MUC-01 12/2025
d0000000-0000-4000-b000-000000000085;DE89370400440532013000;2025-12-05;2025-12-05;-250.00;WEG Elbchaussee 120;Hausgeld HH-01 12/2025
d0000000-0000-4000-b000-000000000086;DE89370400440532013000;2026-01-01;2026-01-02;1150.00;Bergmann, Klaus;Miete WE-01 BER-01 01/2026
d0000000-0000-4000-b000-000000000087;DE89370400440532013000;2026-01-01;2026-01-02;1580.00;Yilmaz, Ayse;Miete WE-01 MUC-01 01/2026
d0000000-0000-4000-b000-000000000088;DE89370400440532013000;2026-01-02;2026-01-03;750.00;Petersen, Jan;Miete WE-01 HH-01 01/2026
d0000000-0000-4000-b000-000000000089;DE89370400440532013000;2026-01-05;2026-01-05;-380.00;WEG Berliner Str. 42;Hausgeld BER-01 01/2026
d0000000-0000-4000-b000-000000000090;DE89370400440532013000;2026-01-05;2026-01-05;-450.00;WEG Maximilianstr. 8;Hausgeld MUC-01 01/2026
d0000000-0000-4000-b000-000000000091;DE89370400440532013000;2026-01-05;2026-01-05;-250.00;WEG Elbchaussee 120;Hausgeld HH-01 01/2026
d0000000-0000-4000-b000-000000000092;DE89370400440532013000;2026-02-01;2026-02-02;1150.00;Bergmann, Klaus;Miete WE-01 BER-01 02/2026
d0000000-0000-4000-b000-000000000093;DE89370400440532013000;2026-02-01;2026-02-02;1580.00;Yilmaz, Ayse;Miete WE-01 MUC-01 02/2026
d0000000-0000-4000-b000-000000000094;DE89370400440532013000;2026-02-02;2026-02-03;750.00;Petersen, Jan;Miete WE-01 HH-01 02/2026
d0000000-0000-4000-b000-000000000095;DE89370400440532013000;2026-02-05;2026-02-05;-380.00;WEG Berliner Str. 42;Hausgeld BER-01 02/2026
d0000000-0000-4000-b000-000000000096;DE89370400440532013000;2026-02-05;2026-02-05;-450.00;WEG Maximilianstr. 8;Hausgeld MUC-01 02/2026
d0000000-0000-4000-b000-000000000097;DE89370400440532013000;2026-02-05;2026-02-05;-250.00;WEG Elbchaussee 120;Hausgeld HH-01 02/2026
d0000000-0000-4000-b000-000000000098;DE89370400440532013000;2026-02-15;2026-02-15;-130.00;Finanzamt Berlin-Mitte;Grundsteuer BER-01 Q1/2026 Az 123-456-789
d0000000-0000-4000-b000-000000000099;DE89370400440532013000;2026-02-15;2026-02-15;-160.00;Finanzamt München II;Grundsteuer MUC-01 Q1/2026 Az 987-654-321
d0000000-0000-4000-b000-000000000100;DE89370400440532013000;2026-02-15;2026-02-15;-80.00;Finanzamt Hamburg-Nord;Grundsteuer HH-01 Q1/2026 Az 555-888-111
